Baseline Fluorescence (mV),Baseline Fluorescence std (mV),Experiment_ID,Tube_Number
432.5833333333333,3.882832585740581,Exp006E1,1.0
420.3333333333333,0.7453559924999298,Exp006E1,2.0
434.5833333333333,0.4930066485916346,Exp006E1,3.0
429.0,0.816496580927726,Exp006E1,4.0
422.5833333333333,0.7592027982620247,Exp006E1,5.0
431.0,0.816496580927726,Exp006E1,6.0
416.75,0.924211375534118,Exp006E1,7.0
422.1666666666667,0.7993052538854531,Exp006E1,8.0
451.5833333333333,0.7592027982620249,Exp006F4,1.0
432.8333333333333,0.5527707983925666,Exp006F4,2.0
443.5,0.6454972243679028,Exp006F4,3.0
443.4166666666667,0.4930066485916347,Exp006F4,4.0
439.0,1.224744871391589,Exp006F4,5.0
434.8333333333333,0.9860132971832694,Exp006F4,6.0
437.4166666666667,0.4930066485916346,Exp006F4,7.0
445.0,1.1547005383792515,Exp006F4,8.0
427.8333333333333,1.6244657241348275,Exp006F1,1.0
411.8333333333333,0.5527707983925666,Exp006F1,2.0
422.1666666666667,0.5527707983925666,Exp006F1,3.0
424.0,0.408248290463863,Exp006F1,4.0
421.4166666666667,0.6400954789890506,Exp006F1,5.0
422.5,0.5,Exp006F1,6.0
418.75,0.82915619758885,Exp006F1,7.0
418.5,1.0408329997330663,Exp006F1,8.0
485.6666666666667,1.247219128924647,Exp006G1,1.0
464.5833333333333,0.9537935951882998,Exp006G1,2.0
476.0833333333333,2.0190069065976197,Exp006G1,3.0
472.3333333333333,1.649915822768611,Exp006G1,4.0
459.9166666666667,0.7592027982620249,Exp006G1,5.0
472.8333333333333,1.2801909579781012,Exp006G1,6.0
456.9166666666667,0.9537935951882998,Exp006G1,7.0
470.8333333333333,1.2801909579781012,Exp006G1,8.0
476.5,0.6454972243679028,Exp006G4,1.0
471.9166666666667,0.8620067027323832,Exp006G4,2.0
458.4166666666667,0.9537935951882996,Exp006G4,3.0
455.6666666666667,0.9428090415820632,Exp006G4,4.0
449.0,1.0801234497346435,Exp006G4,5.0
456.4166666666667,0.8620067027323832,Exp006G4,6.0
462.6666666666667,1.3123346456686351,Exp006G4,7.0
462.75,0.82915619758885,Exp006G4,8.0
487.9166666666667,0.4930066485916346,Exp006G7,1.0
467.5,0.6454972243679028,Exp006G7,2.0
480.0833333333333,0.7592027982620249,Exp006G7,3.0
475.5,0.9574271077563381,Exp006G7,4.0
474.1666666666667,0.8975274678557507,Exp006G7,5.0
470.5,0.8660254037844386,Exp006G7,6.0
459.75,0.5951190357119042,Exp006G7,7.0
468.4166666666667,2.1392496088322397,Exp006G7,8.0
501.3333333333333,0.6236095644623235,Exp006G10,1.0
484.4166666666667,0.6400954789890506,Exp006G10,2.0
491.4166666666667,0.7592027982620247,Exp006G10,3.0
490.6666666666667,0.9428090415820632,Exp006G10,4.0
498.3333333333333,0.6236095644623235,Exp006G10,5.0
488.0,0.9128709291752769,Exp006G10,6.0
488.0,1.0801234497346435,Exp006G10,7.0
482.75,1.1636866703140785,Exp006G10,8.0
424.8333333333333,0.5527707983925666,Exp006E2,1.0
407.5833333333333,0.7592027982620249,Exp006E2,2.0
415.75,0.4330127018922193,Exp006E2,3.0
414.0833333333333,1.3202482931462383,Exp006E2,4.0
418.75,0.5951190357119042,Exp006E2,5.0
413.5,3.227486121839514,Exp006E2,6.0
416.75,0.5951190357119042,Exp006E2,7.0
413.0833333333333,0.4930066485916347,Exp006E2,8.0
446.9166666666667,0.27638539919628335,Exp006F5,1.0
439.8333333333333,0.6871842709362767,Exp006F5,2.0
452.6666666666667,0.4714045207910316,Exp006F5,3.0
452.0833333333333,0.27638539919628335,Exp006F5,4.0
442.25,0.5951190357119042,Exp006F5,5.0
438.4166666666667,0.6400954789890506,Exp006F5,6.0
437.6666666666667,0.6236095644623235,Exp006F5,7.0
428.5,0.5,Exp006F5,8.0
438.25,1.8763883748662837,Exp006F2,1.0
441.1666666666667,0.7993052538854531,Exp006F2,2.0
444.3333333333333,1.7480147469502527,Exp006F2,3.0
435.0,1.6832508230603465,Exp006F2,4.0
431.25,1.8763883748662837,Exp006F2,5.0
441.5,2.4324199198877374,Exp006F2,6.0
445.5,1.5545631755148024,Exp006F2,7.0
442.8333333333333,0.9860132971832692,Exp006F2,8.0
484.5833333333333,0.6400954789890506,Exp006G2,1.0
475.25,0.7216878364870323,Exp006G2,2.0
485.25,0.5951190357119042,Exp006G2,3.0
470.3333333333333,0.9428090415820632,Exp006G2,4.0
466.3333333333333,1.49071198499986,Exp006G2,5.0
488.9166666666667,0.4930066485916346,Exp006G2,6.0
493.1666666666667,1.343709624716425,Exp006G2,7.0
483.0833333333333,2.0598678490513795,Exp006G2,8.0
489.5,0.5,Exp006G5,1.0
450.8333333333333,0.5527707983925666,Exp006G5,2.0
459.6666666666667,0.6236095644623235,Exp006G5,3.0
454.3333333333333,0.8498365855987975,Exp006G5,4.0
458.9166666666667,0.27638539919628335,Exp006G5,5.0
457.8333333333333,0.6871842709362768,Exp006G5,6.0
465.1666666666667,1.2801909579781015,Exp006G5,7.0
456.4166666666667,1.440968038815882,Exp006G5,8.0
478.6666666666667,0.4714045207910316,Exp006G8,1.0
456.9166666666667,0.4930066485916346,Exp006G8,2.0
477.1666666666667,0.372677996249965,Exp006G8,3.0
472.0833333333333,0.7592027982620247,Exp006G8,4.0
481.1666666666667,0.7993052538854531,Exp006G8,5.0
485.8333333333333,0.8975274678557507,Exp006G8,6.0
485.5,0.8660254037844386,Exp006G8,7.0
471.25,0.82915619758885,Exp006G8,8.0
510.8333333333333,0.372677996249965,Exp006G11,1.0
486.75,0.7216878364870323,Exp006G11,2.0
496.9166666666667,0.6400954789890506,Exp006G11,3.0
499.9166666666667,0.9537935951882996,Exp006G11,4.0
489.8333333333333,0.37267799624996495,Exp006G11,5.0
484.25,0.4330127018922193,Exp006G11,6.0
491.25,0.4330127018922193,Exp006G11,7.0
500.5,0.9574271077563381,Exp006G11,8.0
435.25,1.8763883748662837,Exp006E3,1.0
415.1666666666667,1.5723301886761007,Exp006E3,2.0
405.5833333333333,0.4930066485916346,Exp006E3,3.0
420.5,0.6454972243679028,Exp006E3,4.0
420.75,0.5951190357119042,Exp006E3,5.0
417.5,0.6454972243679028,Exp006E3,6.0
423.5833333333333,1.8465433171800285,Exp006E3,7.0
421.0833333333333,0.27638539919628335,Exp006E3,8.0
443.5,0.5,Exp006F6,1.0
440.25,0.4330127018922193,Exp006F6,2.0
456.8333333333333,0.6871842709362768,Exp006F6,3.0
454.75,0.5951190357119042,Exp006F6,4.0
449.4166666666667,0.6400954789890506,Exp006F6,5.0
442.8333333333333,0.6871842709362768,Exp006F6,6.0
436.0,0.408248290463863,Exp006F6,7.0
436.5833333333333,0.6400954789890506,Exp006F6,8.0
438.9166666666667,0.8620067027323833,Exp006F3,1.0
426.3333333333333,1.2472191289246473,Exp006F3,2.0
428.75,1.2332207155790618,Exp006F3,3.0
423.8333333333333,0.6871842709362768,Exp006F3,4.0
418.0833333333333,1.0374916331657276,Exp006F3,5.0
422.1666666666667,0.8975274678557507,Exp006F3,6.0
428.5,1.3844373104863459,Exp006F3,7.0
428.8333333333333,0.372677996249965,Exp006F3,8.0
454.25,1.5343293866268306,Exp006E6,1.0
447.75,0.5951190357119042,Exp006E6,2.0
441.0,0.0,Exp006E6,3.0
428.0833333333333,0.27638539919628335,Exp006E6,4.0
442.0833333333333,0.27638539919628335,Exp006E6,5.0
432.0833333333333,0.27638539919628335,Exp006E6,6.0
432.25,0.4330127018922193,Exp006E6,7.0
427.3333333333333,0.4714045207910316,Exp006E6,8.0
482.8333333333333,0.5527707983925666,Exp006G3,1.0
443.3333333333333,0.4714045207910316,Exp006G3,2.0
460.4166666666667,0.4930066485916346,Exp006G3,3.0
443.8333333333333,0.372677996249965,Exp006G3,4.0
443.9166666666667,0.4930066485916346,Exp006G3,5.0
459.4166666666667,0.8620067027323833,Exp006G3,6.0
455.0,0.5773502691896257,Exp006G3,7.0
455.1666666666667,0.5527707983925666,Exp006G3,8.0
474.5,0.7637626158259734,Exp006G6,1.0
462.8333333333333,0.8975274678557505,Exp006G6,2.0
464.0,0.5773502691896257,Exp006G6,3.0
452.9166666666667,0.4930066485916346,Exp006G6,4.0
466.3333333333333,3.374742788552764,Exp006G6,5.0
468.6666666666667,1.7480147469502527,Exp006G6,6.0
458.25,1.4215601757693317,Exp006G6,7.0
453.8333333333333,0.5527707983925666,Exp006G6,8.0
479.25,1.5343293866268306,Exp006G9,1.0
466.4166666666667,0.9537935951882998,Exp006G9,2.0
470.5833333333333,0.7592027982620247,Exp006G9,3.0
459.5,0.7637626158259734,Exp006G9,4.0
460.25,0.4330127018922193,Exp006G9,5.0
465.6666666666667,0.4714045207910316,Exp006G9,6.0
465.6666666666667,4.089281382128432,Exp006G9,7.0
467.5833333333333,0.4930066485916346,Exp006G9,8.0
504.9166666666667,0.27638539919628335,Exp006G12,1.0
483.75,0.4330127018922193,Exp006G12,2.0
496.1666666666667,0.5527707983925666,Exp006G12,3.0
487.9166666666667,0.27638539919628335,Exp006G12,4.0
479.8333333333333,0.37267799624996495,Exp006G12,5.0
495.25,0.4330127018922193,Exp006G12,6.0
472.8333333333333,0.7993052538854533,Exp006G12,7.0
486.5833333333333,0.6400954789890506,Exp006G12,8.0
333.0833333333333,0.4930066485916346,Exp006E7,1.0
323.5,0.8660254037844386,Exp006E7,2.0
322.4166666666667,0.6400954789890506,Exp006E7,3.0
315.9166666666667,0.9537935951882998,Exp006E7,4.0
319.6666666666667,1.1055415967851332,Exp006E7,5.0
327.1666666666667,1.5723301886761007,Exp006E7,6.0
328.0833333333333,2.0598678490513795,Exp006E7,7.0
341.4166666666667,2.2530843057659626,Exp006E7,8.0
341.4166666666667,0.6400954789890506,Exp006F10,1.0
316.9166666666667,0.27638539919628335,Exp006F10,2.0
322.0,0.0,Exp006F10,3.0
320.6666666666667,0.6236095644623235,Exp006F10,4.0
322.9166666666667,0.27638539919628335,Exp006F10,5.0
311.0,0.0,Exp006F10,6.0
314.1666666666667,0.37267799624996495,Exp006F10,7.0
327.0833333333333,1.440968038815882,Exp006F10,8.0
364.1666666666667,1.343709624716425,Exp006G13,1.0
341.1666666666667,1.343709624716425,Exp006G13,2.0
350.0,1.224744871391589,Exp006G13,3.0
350.25,1.0103629710818451,Exp006G13,4.0
349.0833333333333,1.440968038815882,Exp006G13,5.0
351.5833333333333,1.0374916331657276,Exp006G13,6.0
350.5,0.8660254037844386,Exp006G13,7.0
350.3333333333333,0.6236095644623235,Exp006G13,8.0
369.0,0.9128709291752769,Exp006G16,1.0
356.5,1.118033988749895,Exp006G16,2.0
371.3333333333333,1.4337208778404378,Exp006G16,3.0
381.4166666666667,0.8620067027323832,Exp006G16,4.0
375.4166666666667,1.440968038815882,Exp006G16,5.0
375.0,0.9128709291752769,Exp006G16,6.0
355.5,0.7637626158259734,Exp006G16,7.0
349.25,0.4330127018922193,Exp006G16,8.0
352.75,1.7380544678845176,Exp006E8,1.0
318.3333333333333,1.3743685418725538,Exp006E8,2.0
327.4166666666667,0.9537935951882998,Exp006E8,3.0
319.5833333333333,1.1873172373979173,Exp006E8,4.0
331.5833333333333,1.0374916331657276,Exp006E8,5.0
328.75,1.7380544678845176,Exp006E8,6.0
333.25,1.5343293866268306,Exp006E8,7.0
329.6666666666667,1.5986105077709065,Exp006E8,8.0
337.6666666666667,0.7453559924999298,Exp006F11,1.0
320.1666666666667,0.5527707983925666,Exp006F11,2.0
325.6666666666667,0.8498365855987975,Exp006F11,3.0
322.5833333333333,0.4930066485916346,Exp006F11,4.0
328.4166666666667,0.4930066485916346,Exp006F11,5.0
324.5,0.6454972243679028,Exp006F11,6.0
324.75,0.4330127018922193,Exp006F11,7.0
328.0833333333333,0.27638539919628335,Exp006F11,8.0
339.4166666666667,0.7592027982620247,Exp006F8,1.0
322.0833333333333,0.4930066485916346,Exp006F8,2.0
326.25,0.4330127018922193,Exp006F8,3.0
320.9166666666667,0.6400954789890506,Exp006F8,4.0
321.3333333333333,0.4714045207910316,Exp006F8,5.0
319.25,1.2332207155790618,Exp006F8,6.0
322.3333333333333,0.4714045207910316,Exp006F8,7.0
327.5833333333333,1.3819269959814169,Exp006F8,8.0
336.4166666666667,0.7592027982620247,Exp006E11,1.0
326.1666666666667,1.2801909579781015,Exp006E11,2.0
335.0,0.5773502691896257,Exp006E11,3.0
327.6666666666667,0.7453559924999298,Exp006E11,4.0
324.3333333333333,0.4714045207910316,Exp006E11,5.0
321.5833333333333,0.6400954789890506,Exp006E11,6.0
328.0,0.408248290463863,Exp006E11,7.0
323.0,0.408248290463863,Exp006E11,8.0
367.8333333333333,0.6871842709362768,Exp006G17,1.0
348.5,0.6454972243679028,Exp006G17,2.0
356.4166666666667,1.8911342863183698,Exp006G17,3.0
350.0,0.408248290463863,Exp006G17,4.0
344.1666666666667,0.372677996249965,Exp006G17,5.0
344.1666666666667,0.372677996249965,Exp006G17,6.0
345.9166666666667,0.27638539919628335,Exp006G17,7.0
351.8333333333333,2.1921577396609844,Exp006G17,8.0
333.25,0.4330127018922193,Exp006E9,1.0
308.25,0.7216878364870323,Exp006E9,2.0
331.1666666666667,0.6871842709362767,Exp006E9,3.0
323.6666666666667,1.3743685418725538,Exp006E9,4.0
332.3333333333333,1.5456030825826175,Exp006E9,5.0
337.25,2.2407216099581255,Exp006E9,6.0
